baseline,category,cohort,configured_cap,delta,expected,failure_rate_pct,mutated,passed,policy_cap,scenario
97.24,Documentation,controlled,,-6.2164709999999985,decrease,,91.023529,True,,bad-readme
97.24,Documentation,controlled,,-1.1630770000000012,decrease,,96.076923,True,,missing-run-instructions
97.24,Documentation,controlled,,-0.8828570000000013,decrease,,96.357143,True,,stale-broken-docs
71.416496,Activity,controlled,,0.8161010000000033,non_decrease,,72.232597,True,,fresh-meaningful-commits
71.416496,Activity,controlled,,-50.35426699999999,decrease,,21.062229,True,,empty-tiny-commits
71.416496,Activity,controlled,,-66.840232,decrease,,4.576264,True,,inactive-history
78.09523809523809,Issues,controlled,,0.0,non_decrease,,78.09523809523809,True,,responsive-issues
78.09523809523809,Issues,controlled,,-28.616071428571423,decrease,,49.479166666666664,True,,unresponsive-issues
100.0,CI/CD,controlled,,0.0,non_decrease,,100.0,True,,healthy-ci
100.0,CI/CD,controlled,,-36.981808,decrease,,63.018192,True,,ci-30-failures
100.0,CI/CD,controlled,,-54.666866,decrease,,45.333134,True,,ci-repeated-failures
94.97906280701756,Code Health,controlled,,-38.4769446726892,decrease,,56.502118134328356,True,,complexity-duplication
94.97906280701756,Code Health,controlled,,-31.72928280701756,decrease,,63.249779999999994,True,,old-todo
91.008573,top-level,controlled,30.0,-61.008573,hybrid_cap_respected,,30.0,True,60.0,security-high
91.008573,top-level,controlled,40.0,-51.008573,hybrid_cap_respected,,40.0,True,60.0,security-high
91.008573,top-level,controlled,50.0,-41.008573,hybrid_cap_respected,,50.0,True,60.0,security-high
91.008573,top-level,controlled,60.0,-31.008573,hybrid_cap_respected,,60.0,True,60.0,security-high
91.008573,top-level,controlled,30.0,-61.008573,hybrid_cap_respected,,30.0,True,40.0,security-critical
91.008573,top-level,controlled,40.0,-51.008573,hybrid_cap_respected,,40.0,True,40.0,security-critical
91.008573,top-level,controlled,50.0,-41.008573,hybrid_cap_respected,,50.0,True,40.0,security-critical
91.008573,top-level,controlled,60.0,-31.008573,hybrid_cap_respected,,60.0,True,40.0,security-critical
91.008573,top-level,controlled,30.0,-61.008573,hybrid_cap_respected,,30.0,True,40.0,synthetic-secret
91.008573,top-level,controlled,40.0,-51.008573,hybrid_cap_respected,,40.0,True,40.0,synthetic-secret
91.008573,top-level,controlled,50.0,-41.008573,hybrid_cap_respected,,50.0,True,40.0,synthetic-secret
91.008573,top-level,controlled,60.0,-31.008573,hybrid_cap_respected,,60.0,True,40.0,synthetic-secret
91.008573,top-level,controlled,30.0,-61.008573,hybrid_cap_respected,,30.0,True,,fixed-vulnerability
91.008573,top-level,controlled,40.0,-51.008573,hybrid_cap_respected,,40.0,True,,fixed-vulnerability
91.008573,top-level,controlled,50.0,-41.008573,hybrid_cap_respected,,50.0,True,,fixed-vulnerability
91.008573,top-level,controlled,60.0,-31.008573,hybrid_cap_respected,,60.0,True,,fixed-vulnerability
91.008573,Security,controlled,,-2.247856999999996,not_zero_and_provisional_or_insufficient,,88.760716,True,,security-api-unavailable
91.008573,Code Health,controlled,,-0.9926229999999947,not_zero_and_provisional_or_insufficient,,90.01595,True,,code-health-unavailable
100.0,CI/CD:reliability,controlled,,0.0,monotone_non_increasing,0,100,True,,ci-failure-rate-0pct
100.0,CI/CD:reliability,controlled,,-5.0,monotone_non_increasing,5,95.0,True,,ci-failure-rate-5pct
100.0,CI/CD:reliability,controlled,,-10.0,monotone_non_increasing,10,90.0,True,,ci-failure-rate-10pct
100.0,CI/CD:reliability,controlled,,-20.0,monotone_non_increasing,20,80.0,True,,ci-failure-rate-20pct
100.0,CI/CD:reliability,controlled,,-30.0,monotone_non_increasing,30,70.0,True,,ci-failure-rate-30pct
100.0,CI/CD:reliability,controlled,,-50.0,monotone_non_increasing,50,50.0,True,,ci-failure-rate-50pct
100.0,CI/CD:reliability,controlled,,-100.0,monotone_non_increasing,100,0.0,True,,ci-failure-rate-100pct
