category,ceiling_rate_ge_99,cohort,floor_rate_le_1,high_example,hist_0_19,hist_20_39,hist_40_59,hist_60_79,hist_80_100,low_example,max,mean,median,medium_example,min,missing_rate,n,p10,p25,p50,p75,p90
Documentation,0.0,observational,0.0,datalens/datalens,0,4,15,12,1,sourcecraft/sourcecraft,81.062224,54.19797134375,54.095299,therteenten/archive-optiram,21.459688,0.0,32,39.9431578,40.75,54.095299,66.3552295,76.00118909999999
Activity,0.0,observational,0.0,dqdkfa/libmdbx,20,4,2,2,3,nphne-3azqbags/gazprombank-reviews-analyzer,90.022713,26.236447774193547,15.805592,sourcecraft/sourcecraft,2.098883,0.03125,31,4.418696,10.923134999999998,15.805592,29.7881075,67.387642
Issues,,observational,,,0,0,0,0,0,,,,,,,1.0,0,,,,,
CI/CD,0.0,observational,0.0,artem03102006/codex-external-audit-public-20260916,0,0,0,1,0,artem03102006/codex-external-audit-public-20260916,75.328947,75.328947,75.328947,artem03102006/codex-external-audit-public-20260916,75.328947,0.96875,1,75.328947,75.328947,75.328947,75.328947,75.328947
Security,,observational,,,0,0,0,0,0,,,,,,,1.0,0,,,,,
Code Health,0.09375,observational,0.0,d-diukin-centr-to-ru/tesr,0,0,8,11,13,therteenten/archive-optiram,100.0,71.13317219051254,71.37304577184551,roxblnfk/happy-wife-happy-life,44.3013928080931,0.0,32,50.97789616176153,61.30114504339296,71.37304577184551,80.0,96.16666666666671
Documentation,0.0,controlled,0.0,controlled/unresponsive-issues,0,0,0,0,15,controlled/bad-readme,97.24,96.689173,97.24,controlled/bad-readme,91.023529,0.0,15,96.189011,97.24,97.24,97.24,97.24
Activity,0.0,controlled,0.0,controlled/fresh-meaningful-commits,1,2,0,12,0,controlled/inactive-history,72.232597,60.26404879999999,71.416496,controlled/bad-readme,4.576264,0.0,15,20.7298032,71.416496,71.416496,71.416496,71.416496
Issues,0.0,controlled,0.0,controlled/stale-broken-docs,0,0,1,14,0,controlled/unresponsive-issues,78.09523809523809,76.1875,78.09523809523809,controlled/unresponsive-issues,49.479166666666664,0.0,15,78.09523809523809,78.09523809523809,78.09523809523809,78.09523809523809,78.09523809523809
CI/CD,0.8666666666666667,controlled,0.0,controlled/unresponsive-issues,0,0,1,1,13,controlled/ci-repeated-failures,100.0,93.8900884,100.0,controlled/ci-repeated-failures,45.333134,0.0,15,77.81091520000001,100.0,100.0,100.0,100.0
Security,1.0,controlled,0.0,controlled/unresponsive-issues,0,0,0,0,15,controlled/bad-readme,100.0,100.0,100.0,controlled/bad-readme,100.0,0.0,15,100.0,100.0,100.0,100.0,100.0
Code Health,0.0,controlled,0.0,controlled/unresponsive-issues,0,0,1,1,13,controlled/complexity-duplication,94.97906280701756,88.28610208030025,94.97906280701756,controlled/complexity-duplication,56.502118134328356,0.0,15,71.91631266666667,84.91644666666667,94.97906280701756,94.97906280701756,94.97906280701756
