analysis_status,api_language,checkout,checkout_bytes,ci_collection,clone_status,commit_count,expected_language,failure_kind,head_sha_prefix,included_loc,issues_collection,metadata_status,repo,shallow,stratum
ERROR,Kotlin,,,,ERROR,,Kotlin,clone_failed,,,,MEASURED,divkit/divkit,,high_rating
MEASURED,Python,D:\RepoHealthCalibration\repos\a13xp0p0v\kernel-hardening-checker,19516128,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1479,Python,,eddca02d7629,707173,"{""comments"": 194, ""comments_complete"": false, ""failure_kind"": null, ""pages"": 2, ""records"": 114, ""status"": ""PARTIAL""}",MEASURED,a13xp0p0v/kernel-hardening-checker,False,high_rating
MEASURED,Shell,D:\RepoHealthCalibration\repos\datalens\datalens,466878,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,229,Shell,,cdcb0f1ecff8,10283,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,datalens/datalens,False,high_rating
MEASURED,C,D:\RepoHealthCalibration\repos\dqdkfa\libmdbx,3293158,"{""http_status"": 429, ""pages"": 1, ""status"": ""ERROR""}",CLONED,130,C,,a032e40c1c06,76651,"{""comments"": 646, ""comments_complete"": false, ""failure_kind"": ""comment_safety_bound"", ""pages"": 3, ""records"": 239, ""status"": ""PARTIAL""}",MEASURED,dqdkfa/libmdbx,False,high_rating
MEASURED,TSX,D:\RepoHealthCalibration\repos\gravity-ui\uikit,32487858,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1950,TSX,,a898e7d9b511,259363,"{""comments"": 122, ""comments_complete"": false, ""failure_kind"": ""issue_safety_bound"", ""pages"": 5, ""records"": 500, ""status"": ""PARTIAL""}",MEASURED,gravity-ui/uikit,False,high_rating
MEASURED,C++,D:\RepoHealthCalibration\repos\suzev\advent-test,10669,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,102,C++,,dd62ce9cb335,362,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,suzev/advent-test,False,oldest_catalog
MEASURED,unknown,D:\RepoHealthCalibration\repos\appolimp\hello,7859,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,28,unknown,,adc8431970fb,125,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,appolimp/hello,False,oldest_catalog
MEASURED,unknown,D:\RepoHealthCalibration\repos\sourcecraft\sourcecraft,7388,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,14,unknown,,b9c495493958,72,"{""comments"": 194, ""comments_complete"": false, ""failure_kind"": ""issue_safety_bound"", ""pages"": 5, ""records"": 500, ""status"": ""PARTIAL""}",MEASURED,sourcecraft/sourcecraft,False,oldest_catalog
MEASURED,Shell,D:\RepoHealthCalibration\repos\mibon2019\test,4600,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,10,Shell,,1e81ebe3f9fe,109,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 1, ""status"": ""MEASURED""}",MEASURED,mibon2019/test,False,oldest_catalog
MEASURED,TypeScript,D:\RepoHealthCalibration\repos\fy-demonar\test1,4275461,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1893,TypeScript,,ad2cc0aed660,93406,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,fy-demonar/test1,False,oldest_catalog
MEASURED,unknown,D:\RepoHealthCalibration\repos\nphne-3azqbags\gazprombank-reviews-analyzer,133,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1,unknown,,490ee9493f83,3,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,nphne-3azqbags/gazprombank-reviews-analyzer,False,newest_catalog
MEASURED,JavaScript,D:\RepoHealthCalibration\repos\kes-plahotin\real-estate-catalog,12782,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,2,JavaScript,,3634b68762d0,403,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,kes-plahotin/real-estate-catalog,False,newest_catalog
MEASURED,unknown,D:\RepoHealthCalibration\repos\d-diukin-centr-to-ru\tesr,0,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,,unknown,,HEAD,0,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,d-diukin-centr-to-ru/tesr,False,newest_catalog
MEASURED,JavaScript,D:\RepoHealthCalibration\repos\axidex\random-number-telegram-bot,6838,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1,JavaScript,,aa67c6095299,143,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,axidex/random-number-telegram-bot,False,newest_catalog
MEASURED,JavaScript,D:\RepoHealthCalibration\repos\231313131\testvuln,1350,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,1,JavaScript,,e4fb193d9bae,56,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,231313131/testvuln,False,newest_catalog
MEASURED,Python,D:\RepoHealthCalibration\repos\artemka21005\hackathon25,4631449,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,2,Python,,3440bb706b24,23282,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,artemka21005/hackathon25,False,language:Python
MEASURED,JavaScript,D:\RepoHealthCalibration\repos\organization-boss-derevo-market\koleso-emotsii,20227,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,7,JavaScript,,43156c3f50f9,562,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,organization-boss-derevo-market/koleso-emotsii,False,language:JavaScript
MEASURED,TypeScript,D:\RepoHealthCalibration\repos\gradosphera\telegram-apps,4257119,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,4569,TypeScript,,f25f6a3ccc5b,69568,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,gradosphera/telegram-apps,False,language:TypeScript
MEASURED,TSX,D:\RepoHealthCalibration\repos\vegasonik2\smartroute,922730,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,24,TSX,,c1fe856b4708,11251,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,vegasonik2/smartroute,False,language:TSX
MEASURED,C++,D:\RepoHealthCalibration\repos\cppshizoid\metautils,737436,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,13,C++,,01b3af98a412,22608,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,cppshizoid/metautils,False,language:C++
MEASURED,Java,D:\RepoHealthCalibration\repos\therteenten\archive-optiram,364363,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,6,Java,,997805f380f4,2726,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,therteenten/archive-optiram,False,language:Java
MEASURED,Go,D:\RepoHealthCalibration\repos\postgres\wal-g,7015239,"{""http_status"": 403, ""pages"": 1, ""status"": ""UNAVAILABLE""}",CLONED,2431,Go,,4e6941fa7ea9,151829,"{""comments"": 0, ""comments_complete"": true, ""failure_kind"": null, ""pages"": 1, ""records"": 0, ""status"": ""NO_ISSUES""}",MEASURED,postgres/wal-g,False,language:Go
ERROR,Rust,,,,ERROR,,Rust,clone_failed,,,,MEASURED,yurvon/origa,,language:Rust
