repo,variant,h_raw,k,state
a13xp0p0v/kernel-hardening-checker,candidate_15_15_15_15_20_20,78.136598,0.41,INSUFFICIENT_DATA
datalens/datalens,candidate_15_15_15_15_20_20,69.760064,0.41,INSUFFICIENT_DATA
dqdkfa/libmdbx,candidate_15_15_15_15_20_20,88.496656,0.41,INSUFFICIENT_DATA
gravity-ui/uikit,candidate_15_15_15_15_20_20,73.306685,0.314,INSUFFICIENT_DATA
suzev/advent-test,candidate_15_15_15_15_20_20,76.739666,0.41,INSUFFICIENT_DATA
appolimp/hello,candidate_15_15_15_15_20_20,66.531515,0.41,INSUFFICIENT_DATA
sourcecraft/sourcecraft,candidate_15_15_15_15_20_20,81.237846,0.41,INSUFFICIENT_DATA
mibon2019/test,candidate_15_15_15_15_20_20,50.251361,0.26,INSUFFICIENT_DATA
fy-demonar/test1,candidate_15_15_15_15_20_20,63.056233,0.314,INSUFFICIENT_DATA
nphne-3azqbags/gazprombank-reviews-analyzer,candidate_15_15_15_15_20_20,78.836812,0.366667,INSUFFICIENT_DATA
kes-plahotin/real-estate-catalog,candidate_15_15_15_15_20_20,69.606652,0.41,INSUFFICIENT_DATA
d-diukin-centr-to-ru/tesr,candidate_15_15_15_15_20_20,100.0,0.066667,INSUFFICIENT_DATA
axidex/random-number-telegram-bot,candidate_15_15_15_15_20_20,76.36234,0.41,INSUFFICIENT_DATA
231313131/testvuln,candidate_15_15_15_15_20_20,76.297061,0.41,INSUFFICIENT_DATA
artemka21005/hackathon25,candidate_15_15_15_15_20_20,70.220644,0.41,INSUFFICIENT_DATA
organization-boss-derevo-market/koleso-emotsii,candidate_15_15_15_15_20_20,69.317915,0.41,INSUFFICIENT_DATA
gradosphera/telegram-apps,candidate_15_15_15_15_20_20,63.144178,0.314,INSUFFICIENT_DATA
vegasonik2/smartroute,candidate_15_15_15_15_20_20,69.585201,0.41,INSUFFICIENT_DATA
cppshizoid/metautils,candidate_15_15_15_15_20_20,66.582024,0.41,INSUFFICIENT_DATA
therteenten/archive-optiram,candidate_15_15_15_15_20_20,66.779478,0.41,INSUFFICIENT_DATA
postgres/wal-g,candidate_15_15_15_15_20_20,72.466245,0.314,INSUFFICIENT_DATA
romanko-mikhail/bhlib,candidate_15_15_15_15_20_20,66.689526,0.41,INSUFFICIENT_DATA
nikulin-n-n/android-arduino,candidate_15_15_15_15_20_20,55.3781,0.26,INSUFFICIENT_DATA
n-prudkovskiy/first,candidate_15_15_15_15_20_20,71.686318,0.41,INSUFFICIENT_DATA
roxblnfk/happy-wife-happy-life,candidate_15_15_15_15_20_20,65.737205,0.41,INSUFFICIENT_DATA
kookaburra/docs,candidate_15_15_15_15_20_20,79.30738,0.366667,INSUFFICIENT_DATA
dreagledr-public/embedder,candidate_15_15_15_15_20_20,70.520937,0.41,INSUFFICIENT_DATA
al3xey1981ru/my-test,candidate_15_15_15_15_20_20,76.362337,0.41,INSUFFICIENT_DATA
lilmarlboro/zapretcloudflare,candidate_15_15_15_15_20_20,70.833902,0.366667,INSUFFICIENT_DATA
nitrogen1123/news-site-gazetka,candidate_15_15_15_15_20_20,72.220027,0.41,INSUFFICIENT_DATA
konstkaras/lj-clique,candidate_15_15_15_15_20_20,57.745013,0.26,INSUFFICIENT_DATA
yndx-korsak-pz-9zw190/repo-test,candidate_15_15_15_15_20_20,78.838653,0.366667,INSUFFICIENT_DATA
theilyakolosov/rag-system,candidate_15_15_15_15_20_20,76.214781,0.41,INSUFFICIENT_DATA
deepsweet/agentic-openspec,candidate_15_15_15_15_20_20,88.573356,0.41,INSUFFICIENT_DATA
codwiz/aassh,candidate_15_15_15_15_20_20,67.900353,0.41,INSUFFICIENT_DATA
artem03102006/codex-external-audit-public-20260916,candidate_15_15_15_15_20_20,84.518184,0.56,PROVISIONAL_SCORE
a13xp0p0v/kernel-hardening-checker,equal,78.103303,0.425,INSUFFICIENT_DATA
datalens/datalens,equal,68.836368,0.425,INSUFFICIENT_DATA
dqdkfa/libmdbx,equal,89.739529,0.425,INSUFFICIENT_DATA
gravity-ui/uikit,equal,72.851592,0.318333,INSUFFICIENT_DATA
suzev/advent-test,equal,76.179718,0.425,INSUFFICIENT_DATA
appolimp/hello,equal,64.835662,0.425,INSUFFICIENT_DATA
